Date,Open,High,Low,Close,Adj Close,Volume
2020-08-14,44.490002,56.000000,36.150002,55.900002,55.900002,23677700
2020-08-17,84.400002,85.000000,67.120003,77.199997,77.199997,14222900
2020-08-18,72.417000,73.050003,65.089996,65.699997,65.699997,4106000
2020-08-19,67.705002,67.989998,55.049999,56.900002,56.900002,5240500
2020-08-20,63.000000,66.889999,60.700001,66.000000,66.000000,7037600
2020-08-21,66.907997,69.739998,63.360001,67.199997,67.199997,2625400
2020-08-24,68.970001,69.000000,59.099998,62.650002,62.650002,1985400
2020-08-25,60.660000,63.410000,59.220001,63.250000,63.250000,819700
2020-08-26,61.349998,62.299999,58.750000,59.500000,59.500000,1005200
2020-08-27,59.500000,59.900002,56.000000,57.709999,57.709999,982900
2020-08-28,58.000000,60.439999,56.849998,59.150002,59.150002,990000
2020-08-31,60.625000,60.750000,55.080002,55.080002,55.080002,1227600
2020-09-01,56.810001,57.439999,54.139999,56.849998,56.849998,1120200
2020-09-02,59.599998,59.759998,55.119999,58.459999,58.459999,1656300
2020-09-03,58.990002,59.000000,56.101002,56.919998,56.919998,904500
2020-09-04,60.248001,64.180000,57.049999,63.450001,63.450001,1862200
2020-09-08,60.500000,60.500000,56.520000,56.910000,56.910000,1412000
2020-09-09,58.200001,58.500000,55.099998,55.209999,55.209999,916400
2020-09-10,55.580002,56.549999,54.020000,54.740002,54.740002,851600
2020-09-11,54.959999,55.377998,51.250000,52.680000,52.680000,726100
2020-09-14,53.330002,54.820000,52.695000,53.130001,53.130001,630200
2020-09-15,54.349998,54.400002,52.680000,53.860001,53.860001,415200
2020-09-16,53.939999,54.599998,53.200001,53.980000,53.980000,421000
2020-09-17,52.750000,53.130001,51.619999,52.900002,52.900002,333100
2020-09-18,52.130001,53.279999,51.660000,52.090000,52.090000,470700
2020-09-21,50.000000,50.139999,48.009998,50.080002,50.080002,332100
2020-09-22,50.250000,50.560001,49.790001,50.000000,50.000000,223800
2020-09-23,49.810001,50.419998,47.209999,47.630001,47.630001,385000
2020-09-24,45.139999,45.799999,43.000000,43.799999,43.799999,619500
2020-09-25,44.200001,45.799999,43.299999,44.049999,44.049999,484500
2020-09-28,44.450001,48.000000,44.450001,45.759998,45.759998,454900
2020-09-29,46.259998,46.900002,45.009998,45.680000,45.680000,320600
2020-09-30,49.000000,49.830002,46.400002,46.549999,46.549999,823200
2020-10-01,48.480000,48.700001,46.759998,47.090000,47.090000,550100
2020-10-02,47.009998,47.880001,46.419998,47.490002,47.490002,431900
2020-10-05,48.700001,50.599998,48.458000,50.500000,50.500000,554500
2020-10-06,52.549999,55.099998,52.099998,53.959999,53.959999,810900
2020-10-07,53.759998,56.540001,52.520000,56.459999,56.459999,576500
2020-10-08,56.570000,56.700001,55.049999,55.419998,55.419998,326500
